Label,Sex,Lane,Generation,Group,Habitat,Origin,Family,Note
T05KLF,F,1,P,BI_P,Marine,BI,,
T05KLM,M,1,P,KL_P,Fresh,KL,,
T07HLF,F,1,P,BI_P,Marine,BI,,
T04HLF,F,1,P,BI_P,Marine,BI,,
T04HLM,M,1,P,HL_P,Fresh,HL,,
T06KLF,F,1,P,BI_P,Marine,BI,,
T06KLM,M,1,P,KL_P,Fresh,KL,,
T17KLF,F,1,P,BI_P,Marine,BI,,
T17KLM,M,1,P,KL_P,Fresh,KL,,
Tj17HLF,F,1,P,BI_P,Marine,BI,,
Tj17HLM,M,1,P,HL_P,Fresh,HL,,
KL1F,F,1,F1,KL_F1,,KL,KL_F1_1,parents of KL_F2
KL1M,M,1,F1,KL_F1,,KL,KL_F1_1,parents of KL_F2
HL4M,M,1,F1,HL_F1,,HL,HL_F1_1,
HL4F,F,1,F1,HL_F1,,HL,HL_F1_1,
HL2M3M,M,1,F1,HL_F1,,HL,HL_F1_1,
HL2F,F,1,F1,HL_F1,,HL,HL_F1_1,
HL3F,F,1,F1,HL_F1,,HL,HL_F1_1,
KL2M3M,M,1,F1,KL_F1,,KL,KL_F1_2,
KL2F,F,1,F1,KL_F1,,KL,KL_F1_2,
KL3F,F,1,F1,KL_F1,,KL,KL_F1_2,
HL5M,M,1,F1,HL_F1,,HL,HL_F1_1,
HL5F,F,2,F1,HL_F1,,HL,HL_F1_1,
KL7F,F,2,F1,KL_F1,,KL,KL_F1_1,parents of KL_F2
KL7M,M,2,F1,KL_F1,,KL,KL_F1_1,parents of KL_F2
KL6F,F,2,F1,KL_F1,,KL,KL_F1_3,
KL6M,M,2,F1,KL_F1,,KL,KL_F1_3,
KL4M5M,M,2,F1,KL_F1,,KL,KL_F1_3,
KL5F,F,2,F1,KL_F1,,KL,KL_F1_3,
KL4F,F,2,F1,KL_F1,,KL,KL_F1_3,
HL1,F,2,F2,HL_F2,,HL,HL_F2_1,
HL2,F,2,F2,HL_F2,,HL,HL_F2_1,
HL3,M,2,F2,HL_F2,,HL,HL_F2_1,
HL4,M,2,F2,HL_F2,,HL,HL_F2_1,
HL5,F,2,F2,HL_F2,,HL,HL_F2_1,
HL6,NA,2,F2,HL_F2,,HL,HL_F2_1,
HL7,F,2,F2,HL_F2,,HL,HL_F2_1,
HL8,F,2,F2,HL_F2,,HL,HL_F2_1,
HL10,F,2,F2,HL_F2,,HL,HL_F2_1,
HL11,M,2,F2,HL_F2,,HL,HL_F2_1,
HL12,F,2,F2,HL_F2,,HL,HL_F2_1,
HL13,NA,2,F2,HL_F2,,HL,HL_F2_1,
HL14,F,2,F2,HL_F2,,HL,HL_F2_1,
HL15,M,2,F2,HL_F2,,HL,HL_F2_1,
HL16,M,2,F2,HL_F2,,HL,HL_F2_1,
HL17,F,2,F2,HL_F2,,HL,HL_F2_1,
HL19,M,3,F2,HL_F2,,HL,HL_F2_1,
HL20,M,3,F2,HL_F2,,HL,HL_F2_1,
HL21,F,3,F2,HL_F2,,HL,HL_F2_1,
HL22,M,3,F2,HL_F2,,HL,HL_F2_1,
HL23,F,3,F2,HL_F2,,HL,HL_F2_1,
HL24,F,3,F2,HL_F2,,HL,HL_F2_1,
HL25,M,3,F2,HL_F2,,HL,HL_F2_1,
HL26,M,3,F2,HL_F2,,HL,HL_F2_1,
HL27,F,3,F2,HL_F2,,HL,HL_F2_1,
HL28,F,3,F2,HL_F2,,HL,HL_F2_1,
HL29,NA,3,F2,HL_F2,,HL,HL_F2_1,
HL30,NA,3,F2,HL_F2,,HL,HL_F2_1,
KL1,F,3,F2,KL_F2,,KL,KL_F2_1,
KL2,NA,3,F2,KL_F2,,KL,KL_F2_1,
KL3,M,3,F2,KL_F2,,KL,KL_F2_1,
KL4,F,3,F2,KL_F2,,KL,KL_F2_1,
KL5,M,3,F2,KL_F2,,KL,KL_F2_1,
KL6,M,3,F2,KL_F2,,KL,KL_F2_1,
KL7,F,3,F2,KL_F2,,KL,KL_F2_1,
KL8,M,3,F2,KL_F2,,KL,KL_F2_1,
KL9,NA,3,F2,KL_F2,,KL,KL_F2_1,
KL10,M,3,F2,KL_F2,,KL,KL_F2_1,
KL11,M,3,F2,KL_F2,,KL,KL_F2_1,
KL12,M,3,F2,KL_F2,,KL,KL_F2_1,
KL13,M,4,F2,KL_F2,,KL,KL_F2_1,
KL14,M,4,F2,KL_F2,,KL,KL_F2_1,
KL15,F,4,F2,KL_F2,,KL,KL_F2_1,
KL16,F,4,F2,KL_F2,,KL,KL_F2_1,
KL17,M,4,F2,KL_F2,,KL,KL_F2_1,
KL18,F,4,F2,KL_F2,,KL,KL_F2_1,
KL19,M,4,F2,KL_F2,,KL,KL_F2_1,
KL20,M,4,F2,KL_F2,,KL,KL_F2_1,
KL22,M,4,F2,KL_F2,,KL,KL_F2_1,
KL24,M,4,F2,KL_F2,,KL,KL_F2_1,
KL25,M,4,F2,KL_F2,,KL,KL_F2_1,
KL26,F,4,F2,KL_F2,,KL,KL_F2_1,
KL28,F,4,F2,KL_F2,,KL,KL_F2_1,
KL29,M,4,F2,KL_F2,,KL,KL_F2_1,
KL30,M,4,F2,KL_F2,,KL,KL_F2_1,
KL31,M,4,F2,KL_F2,,KL,KL_F2_1,
KL32,M,4,F2,KL_F2,,KL,KL_F2_1,
KL33,F,4,F2,KL_F2,,KL,KL_F2_1,
KL34,M,4,F2,KL_F2,,KL,KL_F2_1,
KL35,M,4,F2,KL_F2,,KL,KL_F2_1,
KL36,M,4,F2,KL_F2,,KL,KL_F2_1,
KL38,F,4,F2,KL_F2,,KL,KL_F2_1,
KL39,M,4,F2,KL_F2,,KL,KL_F2_1,
KL40,F,4,F2,KL_F2,,KL,KL_F2_1,
